ID;Ano;UO (Cod);UG (Cod);UG Responsável (Cod);Programa (Cod);Programa;Ação (Cod);Ação;PO (Cod);PO;GND (Cod);GND;Elemento Despesa (Cod);Elemento Despesa;Sub-elemento Despesa (Cod);Sub-elemento Despesa;Ano Emissão Empenho;Empenho;PL;Dotação Inicial;Autorizado;Crédito Disponível;Empenhado;Liquidado;Pago;Despesa Executada;Contingenciamento;RP Proc Inscrito;RP Não-Proc Inscrito;RP Proc a Pagar;RP Não-Proc a Pagar;RP Proc Pago;RP Não-Proc Pago;RP Proc Cancelado;RP Não-Proc Cancelado
2984;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;20TP;ATIVOS CIVIS DA UNIAO;0;ATIVOS CIVIS DA UNIAO;1;PESSOAL E ENCARGOS SOCIAIS;7;CONTRIBUIÇÃO A ENTIDADES FECHADAS DE PREVIDÊNCIA;31900701;CONTRIBUICAO PATRONAL PREVIDENCIA PRIVADA;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2985;2018;24205;203001;NÃO INFORMADO;2056;POLÍTICA ESPACIAL;20VB;PESQUISA E DESENVOLVIMENTO DE TECNOLOGIAS PARA O SETOR ESPAC;8;PESQUISA, DESENVOLVIMENTO E INOVACAO NO CENTRO DE ESTUDO E MONITORAMENTO BRASILEIRO DO CLIMA ESPACIAL (EMBRACE);4;INVESTIMENTOS;52;EQUIPAMENTOS E MATERIAL PERMANENTE;NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;676801,8;676801,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2986;2018;24205;203001;NÃO APLICÁVEL;2056;POLÍTICA ESPACIAL;20VC;DESENVOLVIMENTO, LANCAMENTO E OPERACAO DE SATELITES, COM A I;2;DESENVOLVIMENTO E LANCAMENTO DE SATELITES CIENTIFICOS;4;INVESTIMENTOS;0;[A DETALHAR];NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;1400000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2987;2018;24205;203001;200239;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;2000;ADMINISTRACAO DA UNIDADE;2;OUTRAS DESPESAS ADMINISTRATIVAS;3;OUTRAS DESPESAS CORRENTES;36;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;33903602;DIARIAS A COLABORADORES EVENTUAIS NO PAIS;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2988;2018;24205;154040;150242;2056;POLÍTICA ESPACIAL;20VB;PESQUISA E DESENVOLVIMENTO DE TECNOLOGIAS PARA O SETOR ESPAC;7;DESENVOLVIMENTO DE COMPETENCIAS E CAPITAL HUMANO PARA O SETOR ESPACIAL;3;OUTRAS DESPESAS CORRENTES;14;DIÁRIAS - CIVIL;33901416;DIARIAS NO EXTERIOR;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2989;2018;24205;240106;NÃO INFORMADO;2056;POLÍTICA ESPACIAL;20VC;DESENVOLVIMENTO, LANCAMENTO E OPERACAO DE SATELITES, COM A I;2;DESENVOLVIMENTO E LANCAMENTO DE SATELITES CIENTIFICOS;4;INVESTIMENTOS;0;[A DETALHAR];NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2990;2018;24205;203001;NÃO INFORMADO;2056;POLÍTICA ESPACIAL;7F40;IMPLANTACAO DO CENTRO ESPACIAL DE ALCANTARA - CEA;0;IMPLANTACAO DO CENTRO ESPACIAL DE ALCANTARA - CEA - DESPESAS DIVERSAS;4;INVESTIMENTOS;0;[A DETALHAR];NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;500066,15;66,15;66,15;0;0;0;0;0;0;0;0;0;0;0;0;0
2991;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;2000;ADMINISTRACAO DA UNIDADE;2;OUTRAS DESPESAS ADMINISTRATIVAS;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;33913901;ASSINATURAS DE PERIODICOS E ANUIDADES;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2992;2018;24205;203001;NÃO INFORMADO;2056;POLÍTICA ESPACIAL;20VC;DESENVOLVIMENTO, LANCAMENTO E OPERACAO DE SATELITES, COM A I;5;DESENVOLVIMENTO DOS SATELITES DA SERIE AMAZONIA;3;OUTRAS DESPESAS CORRENTES;33;PASSAGENS E DESPESAS COM LOCOMOCAO;NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2993;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;2000;ADMINISTRACAO DA UNIDADE;2;OUTRAS DESPESAS ADMINISTRATIVAS;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;33903920;MANUT.E CONS.DE B.MOVEIS DE OUTRAS NATUREZAS;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2994;2018;24205;240106;NÃO INFORMADO;2056;POLÍTICA ESPACIAL;20VB;PESQUISA E DESENVOLVIMENTO DE TECNOLOGIAS PARA O SETOR ESPAC;000B;PESQUISA E DESENVOLVIMENTO DE SUBSISTEMAS PARA SATELITES;3;OUTRAS DESPESAS CORRENTES;0;[A DETALHAR];NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2995;2018;24205;203001;240106;2056;POLÍTICA ESPACIAL;20VC;DESENVOLVIMENTO, LANCAMENTO E OPERACAO DE SATELITES, COM A I;000D;RECEPCAO, ARMAZENAMENTO, PROCESSAMENTO E DISTRIBUICAO DE DADOS DE SATELITES;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;230000;230000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
